"Atom number","Rang","Delta P"
"3","1","0.226"
"13","2","0.204"
"11","3","-0.046"
"1","4","-0.069"
"18","5","-0.081"
"21","6","-0.106"
"26","7","-0.113"
"17","8","-0.270"
"20","9","-0.304"
"22","10","-0.304"
"19","11","-0.330"
"23","12","-0.330"
"14","13","-0.343"
"2","14","-0.347"
"4","15","-0.359"
"10","16","-0.390"
"7","17","-0.392"
"12","18","-0.436"
"15","19","-0.446"
"25","20","-0.446"
"16","21","-0.474"
"24","22","-0.474"
"5","23","-0.479"
"28","24","-0.479"
"8","25","-0.483"
"6","26","-0.509"
"27","27","-0.509"
"9","28","-0.520"
