"Atom number","Rang","Delta P"
"20","1","0.495"
"22","2","0.444"
"6","3","-0.072"
"28","4","-0.072"
"5","5","-0.097"
"29","6","-0.097"
"15","7","-0.127"
"26","8","-0.127"
"19","9","-0.148"
"9","10","-0.218"
"16","11","-0.255"
"25","12","-0.255"
"24","13","-0.270"
"17","14","-0.319"
"4","15","-0.341"
"3","16","-0.360"
"2","17","-0.364"
"14","18","-0.395"
"23","19","-0.412"
"10","20","-0.449"
"21","21","-0.468"
"1","22","-0.496"
"7","23","-0.556"
"18","24","-0.603"
"11","25","-0.663"
"8","26","-0.692"
"13","27","-0.780"
"27","28","-0.831"
"12","29","-0.838"
