"Atom number","Rang","Delta P"
"27","1","0.582"
"21","2","0.496"
"1","3","0.269"
"3","4","0.269"
"4","5","0.269"
"26","6","0.175"
"2","7","0.063"
"29","8","0.042"
"33","9","0.042"
"13","10","0.041"
"38","11","0.041"
"30","12","0.002"
"32","13","0.002"
"34","14","-0.017"
"14","15","-0.048"
"37","16","-0.048"
"28","17","-0.094"
"35","18","-0.125"
"23","19","-0.135"
"17","20","-0.138"
"6","21","-0.174"
"20","22","-0.195"
"18","23","-0.217"
"16","24","-0.241"
"19","25","-0.267"
"24","26","-0.275"
"5","27","-0.297"
"15","28","-0.297"
"9","29","-0.350"
"36","30","-0.368"
"39","31","-0.397"
"31","32","-0.407"
"12","33","-0.472"
"22","34","-0.472"
"11","35","-0.484"
"40","36","-0.489"
"10","37","-0.500"
"7","38","-0.528"
"8","39","-0.692"
"25","40","-0.804"
