"Atom number","Rang","Delta P"
"23","1","0.102"
"26","2","0.066"
"6","3","-0.060"
"16","4","-0.063"
"19","5","-0.063"
"22","6","-0.063"
"25","7","-0.063"
"11","8","-0.065"
"14","9","-0.082"
"9","10","-0.089"
"29","11","-0.097"
"8","12","-0.101"
"13","13","-0.106"
"17","14","-0.113"
"12","15","-0.160"
"20","16","-0.171"
"28","17","-0.175"
"10","18","-0.182"
"1","19","-0.185"
"27","20","-0.191"
"2","21","-0.297"
"7","22","-0.317"
"3","23","-0.321"
"15","24","-0.355"
"18","25","-0.385"
"5","26","-0.414"
"21","27","-0.431"
"4","28","-0.446"
"24","29","-0.502"
