"Atom number","Rang","Delta P"
"24","1","0.256"
"2","2","0.068"
"1","3","0.062"
"6","4","0.005"
"32","5","0.003"
"3","6","-0.010"
"9","7","-0.087"
"30","8","-0.091"
"33","9","-0.118"
"17","10","-0.121"
"7","11","-0.138"
"31","12","-0.173"
"13","13","-0.207"
"5","14","-0.224"
"21","15","-0.231"
"4","16","-0.248"
"19","17","-0.260"
"8","18","-0.265"
"18","19","-0.313"
"20","20","-0.313"
"26","21","-0.313"
"27","22","-0.346"
"28","23","-0.346"
"29","24","-0.346"
"25","25","-0.358"
"23","26","-0.385"
"22","27","-0.388"
"11","28","-0.397"
"12","29","-0.425"
"14","30","-0.443"
"15","31","-0.513"
"10","32","-0.531"
"16","33","-0.609"
