"Atom number","Rang","Delta P"
"1","1","0.675"
"26","2","0.152"
"11","3","-0.123"
"6","4","-0.139"
"4","5","-0.177"
"29","6","-0.205"
"5","7","-0.227"
"18","8","-0.240"
"15","9","-0.355"
"28","10","-0.398"
"9","11","-0.436"
"21","12","-0.475"
"25","13","-0.486"
"14","14","-0.507"
"16","15","-0.515"
"24","16","-0.543"
"10","17","-0.565"
"12","18","-0.569"
"3","19","-0.599"
"19","20","-0.659"
"20","21","-0.679"
"22","22","-0.712"
"13","23","-0.724"
"17","24","-0.724"
"27","25","-0.760"
"23","26","-0.785"
"7","27","-0.867"
"8","28","-0.902"
"2","29","-0.904"
