"Atom number","Rang","Delta P"
"6","1","0.356"
"2","2","0.102"
"1","3","-0.014"
"21","4","-0.041"
"22","5","-0.064"
"23","6","-0.094"
"3","7","-0.113"
"4","8","-0.176"
"5","9","-0.229"
"24","10","-0.238"
"10","11","-0.260"
"16","12","-0.266"
"9","13","-0.272"
"13","14","-0.281"
"7","15","-0.284"
"12","16","-0.284"
"14","17","-0.284"
"20","18","-0.284"
"25","19","-0.322"
"26","20","-0.381"
"11","21","-0.394"
"19","22","-0.479"
"27","23","-0.547"
"17","24","-0.572"
"18","25","-0.613"
"15","26","-0.794"
"8","27","-0.848"
"28","28","-0.877"
"29","29","-0.941"
