"Atom number","Rang","Delta P"
"16","1","0.458"
"1","2","0.196"
"30","3","-0.043"
"8","4","-0.069"
"9","5","-0.129"
"12","6","-0.161"
"2","7","-0.226"
"10","8","-0.238"
"11","9","-0.238"
"17","10","-0.254"
"23","11","-0.260"
"24","12","-0.260"
"29","13","-0.291"
"18","14","-0.297"
"4","15","-0.305"
"15","16","-0.314"
"14","17","-0.316"
"26","18","-0.319"
"22","19","-0.320"
"35","20","-0.328"
"31","21","-0.344"
"3","22","-0.362"
"28","23","-0.363"
"7","24","-0.383"
"5","25","-0.410"
"13","26","-0.416"
"6","27","-0.435"
"20","28","-0.440"
"19","29","-0.444"
"33","30","-0.486"
"34","31","-0.542"
"27","32","-0.550"
"25","33","-0.559"
"32","34","-0.603"
"21","35","-0.619"
