"Atom number","Rang","Delta P"
"15","1","0.943"
"5","2","0.318"
"25","3","-0.143"
"28","4","-0.143"
"33","5","-0.143"
"36","6","-0.143"
"39","7","-0.143"
"1","8","-0.147"
"21","9","-0.192"
"35","10","-0.230"
"32","11","-0.280"
"10","12","-0.311"
"22","13","-0.321"
"29","14","-0.323"
"24","15","-0.351"
"38","16","-0.353"
"20","17","-0.375"
"30","18","-0.380"
"11","19","-0.392"
"27","20","-0.411"
"7","21","-0.414"
"8","22","-0.414"
"9","23","-0.414"
"6","24","-0.432"
"41","25","-0.439"
"34","26","-0.477"
"37","27","-0.477"
"31","28","-0.487"
"16","29","-0.488"
"26","30","-0.497"
"40","31","-0.522"
"12","32","-0.603"
"23","33","-0.617"
"3","34","-0.628"
"19","35","-0.660"
"18","36","-0.685"
"42","37","-0.692"
"14","38","-0.738"
"17","39","-0.755"
"4","40","-0.761"
"2","41","-0.786"
"43","42","-0.808"
"13","43","-0.809"
