"Atom number","Rang","Delta P"
"3","1","0.293"
"1","2","-0.090"
"10","3","-0.105"
"28","4","-0.105"
"5","5","-0.107"
"19","6","-0.129"
"7","7","-0.147"
"11","8","-0.166"
"20","9","-0.166"
"18","10","-0.306"
"15","11","-0.327"
"24","12","-0.327"
"12","13","-0.461"
"14","14","-0.461"
"16","15","-0.461"
"21","16","-0.461"
"23","17","-0.461"
"25","18","-0.461"
"9","19","-0.519"
"27","20","-0.519"
"13","21","-0.587"
"17","22","-0.587"
"22","23","-0.587"
"26","24","-0.587"
"8","25","-0.609"
"2","26","-0.720"
"6","27","-0.819"
"4","28","-0.829"
