"Atom number","Rang","Delta P"
"11","1","0.075"
"5","2","0.012"
"2","3","-0.064"
"34","4","-0.073"
"1","5","-0.109"
"24","6","-0.142"
"17","7","-0.155"
"3","8","-0.157"
"10","9","-0.157"
"14","10","-0.157"
"16","11","-0.157"
"18","12","-0.157"
"22","13","-0.157"
"25","14","-0.157"
"32","15","-0.157"
"28","16","-0.192"
"33","17","-0.205"
"27","18","-0.224"
"12","19","-0.253"
"30","20","-0.255"
"36","21","-0.276"
"4","22","-0.340"
"6","23","-0.370"
"21","24","-0.416"
"20","25","-0.537"
"13","26","-0.560"
"23","27","-0.568"
"9","28","-0.581"
"31","29","-0.654"
"15","30","-0.672"
"29","31","-0.760"
"7","32","-0.810"
"35","33","-0.815"
"19","34","-0.845"
"26","35","-0.863"
"8","36","-0.895"
