"Atom number","Rang","Delta P"
"16","1","0.184"
"14","2","-0.036"
"4","3","-0.064"
"21","4","-0.073"
"27","5","-0.078"
"24","6","-0.087"
"30","7","-0.094"
"1","8","-0.101"
"6","9","-0.110"
"2","10","-0.145"
"25","11","-0.193"
"20","12","-0.195"
"23","13","-0.195"
"26","14","-0.205"
"3","15","-0.218"
"17","16","-0.225"
"5","17","-0.241"
"22","18","-0.242"
"7","19","-0.248"
"13","20","-0.264"
"10","21","-0.266"
"15","22","-0.274"
"18","23","-0.310"
"29","24","-0.310"
"8","25","-0.321"
"32","26","-0.321"
"9","27","-0.322"
"31","28","-0.322"
"11","29","-0.332"
"19","30","-0.340"
"28","31","-0.340"
"12","32","-0.359"
