"Atom number","Rang","Delta P"
"2","1","0.565"
"15","2","0.558"
"24","3","0.506"
"12","4","0.130"
"13","5","0.110"
"6","6","0.040"
"21","7","0.008"
"1","8","-0.021"
"16","9","-0.033"
"9","10","-0.096"
"5","11","-0.225"
"20","12","-0.247"
"26","13","-0.288"
"30","14","-0.339"
"18","15","-0.357"
"22","16","-0.381"
"25","17","-0.420"
"28","18","-0.425"
"29","19","-0.425"
"7","20","-0.459"
"17","21","-0.479"
"4","22","-0.501"
"10","23","-0.522"
"27","24","-0.524"
"23","25","-0.536"
"19","26","-0.569"
"8","27","-0.671"
"3","28","-0.685"
"11","29","-0.740"
"14","30","-0.793"
