"Atom number","Rang","Delta P"
"2","1","0.477"
"1","2","0.331"
"4","3","0.219"
"3","4","0.194"
"5","5","0.191"
"22","6","0.172"
"20","7","0.148"
"21","8","0.147"
"11","9","0.100"
"13","10","0.100"
"19","11","0.100"
"23","12","0.070"
"9","13","0.032"
"8","14","0.004"
"24","15","-0.043"
"15","16","-0.079"
"17","17","-0.162"
"12","18","-0.163"
"7","19","-0.210"
"25","20","-0.231"
"6","21","-0.235"
"26","22","-0.505"
"14","23","-0.509"
"16","24","-0.588"
"10","25","-0.607"
"18","26","-0.793"
"27","27","-0.798"
"28","28","-0.919"
