"Atom number","Rang","Delta P"
"20","1","0.553"
"12","2","-0.020"
"17","3","-0.034"
"22","4","-0.034"
"15","5","-0.037"
"7","6","-0.121"
"6","7","-0.124"
"26","8","-0.124"
"16","9","-0.209"
"1","10","-0.353"
"3","11","-0.353"
"19","12","-0.396"
"18","13","-0.400"
"21","14","-0.400"
"4","15","-0.512"
"27","16","-0.512"
"14","17","-0.608"
"23","18","-0.608"
"5","19","-0.612"
"25","20","-0.612"
"2","21","-0.640"
"13","22","-0.664"
"24","23","-0.664"
"11","24","-0.685"
"8","25","-0.698"
"9","26","-0.735"
"10","27","-0.797"
