"Atom number","Rang","Delta P"
"29","1","0.604"
"33","2","0.604"
"21","3","0.505"
"28","4","0.299"
"27","5","0.285"
"30","6","0.254"
"32","7","0.254"
"26","8","0.198"
"6","9","0.141"
"34","10","0.048"
"2","11","0.023"
"13","12","-0.023"
"38","13","-0.023"
"23","14","-0.039"
"1","15","-0.042"
"3","16","-0.042"
"4","17","-0.042"
"14","18","-0.104"
"37","19","-0.104"
"19","20","-0.146"
"7","21","-0.159"
"35","22","-0.174"
"9","23","-0.176"
"16","24","-0.185"
"17","25","-0.185"
"40","26","-0.215"
"5","27","-0.216"
"39","28","-0.218"
"36","29","-0.232"
"24","30","-0.234"
"15","31","-0.248"
"20","32","-0.257"
"22","33","-0.321"
"12","34","-0.338"
"18","35","-0.348"
"31","36","-0.357"
"10","37","-0.367"
"11","38","-0.413"
"8","39","-0.475"
"25","40","-0.693"
