"Atom number","Rang","Delta P"
"21","1","0.324"
"14","2","-0.013"
"11","3","-0.026"
"9","4","-0.050"
"25","5","-0.053"
"2","6","-0.069"
"26","7","-0.108"
"27","8","-0.108"
"1","9","-0.126"
"18","10","-0.161"
"17","11","-0.163"
"19","12","-0.203"
"10","13","-0.206"
"24","14","-0.210"
"16","15","-0.212"
"13","16","-0.213"
"20","17","-0.226"
"15","18","-0.231"
"4","19","-0.237"
"5","20","-0.269"
"12","21","-0.286"
"3","22","-0.293"
"22","23","-0.306"
"6","24","-0.335"
"23","25","-0.349"
"7","26","-0.491"
"8","27","-0.613"
