"Atom number","Rang","Delta P"
"18","1","0.256"
"20","2","0.034"
"22","3","0.034"
"9","4","0.013"
"13","5","-0.064"
"6","6","-0.075"
"27","7","-0.075"
"5","8","-0.089"
"28","9","-0.089"
"21","10","-0.103"
"15","11","-0.114"
"25","12","-0.114"
"11","13","-0.186"
"14","14","-0.216"
"2","15","-0.235"
"10","16","-0.265"
"1","17","-0.305"
"19","18","-0.306"
"23","19","-0.306"
"17","20","-0.330"
"26","21","-0.341"
"16","22","-0.346"
"24","23","-0.346"
"7","24","-0.424"
"4","25","-0.468"
"8","26","-0.501"
"3","27","-0.525"
"12","28","-0.599"
