"Atom number","Rang","Delta P"
"7","1","0.073"
"6","2","0.010"
"27","3","-0.026"
"17","4","-0.065"
"19","5","-0.065"
"9","6","-0.092"
"4","7","-0.127"
"12","8","-0.154"
"29","9","-0.212"
"31","10","-0.212"
"15","11","-0.224"
"18","12","-0.259"
"11","13","-0.261"
"13","14","-0.284"
"3","15","-0.310"
"30","16","-0.330"
"32","17","-0.330"
"5","18","-0.347"
"21","19","-0.401"
"20","20","-0.406"
"34","21","-0.454"
"16","22","-0.498"
"33","23","-0.508"
"22","24","-0.518"
"23","25","-0.518"
"24","26","-0.521"
"25","27","-0.522"
"35","28","-0.538"
"36","29","-0.538"
"37","30","-0.538"
"28","31","-0.569"
"1","32","-0.626"
"10","33","-0.642"
"8","34","-0.673"
"14","35","-0.759"
"2","36","-0.781"
"26","37","-0.867"
