"Atom number","Rang","Delta P"
"5","1","0.242"
"24","2","0.133"
"16","3","0.106"
"28","4","0.106"
"10","5","0.049"
"14","6","0.049"
"23","7","0.017"
"25","8","0.017"
"2","9","-0.078"
"17","10","-0.081"
"27","11","-0.081"
"12","12","-0.133"
"20","13","-0.143"
"4","14","-0.187"
"22","15","-0.192"
"26","16","-0.192"
"7","17","-0.277"
"15","18","-0.345"
"21","19","-0.373"
"18","20","-0.385"
"6","21","-0.448"
"1","22","-0.467"
"8","23","-0.515"
"19","24","-0.532"
"11","25","-0.541"
"13","26","-0.541"
"9","27","-0.576"
"3","28","-0.771"
