"Atom number","Rang","Delta P"
"12","1","0.822"
"18","2","0.746"
"3","3","0.201"
"17","4","0.196"
"8","5","0.074"
"1","6","0.001"
"20","7","-0.043"
"22","8","-0.043"
"9","9","-0.116"
"11","10","-0.139"
"14","11","-0.236"
"25","12","-0.236"
"4","13","-0.260"
"19","14","-0.273"
"23","15","-0.273"
"7","16","-0.282"
"27","17","-0.287"
"21","18","-0.291"
"28","19","-0.292"
"31","20","-0.313"
"13","21","-0.323"
"15","22","-0.335"
"24","23","-0.335"
"29","24","-0.337"
"34","25","-0.376"
"5","26","-0.545"
"32","27","-0.545"
"10","28","-0.570"
"30","29","-0.613"
"16","30","-0.615"
"6","31","-0.678"
"26","32","-0.703"
"2","33","-0.706"
"33","34","-0.917"
