"Atom number","Rang","Delta P"
"12","1","0.747"
"19","2","0.633"
"23","3","0.633"
"29","4","0.505"
"20","5","0.169"
"22","6","0.169"
"18","7","0.052"
"8","8","0.037"
"1","9","-0.102"
"9","10","-0.139"
"17","11","-0.230"
"14","12","-0.260"
"25","13","-0.260"
"4","14","-0.312"
"7","15","-0.323"
"13","16","-0.327"
"15","17","-0.357"
"24","18","-0.357"
"28","19","-0.438"
"2","20","-0.465"
"21","21","-0.495"
"5","22","-0.544"
"31","23","-0.586"
"10","24","-0.609"
"27","25","-0.611"
"30","26","-0.632"
"11","27","-0.634"
"6","28","-0.650"
"34","29","-0.671"
"16","30","-0.703"
"26","31","-0.703"
"32","32","-0.848"
"3","33","-0.902"
"33","34","-0.914"
