"Atom number","Rang","Delta P"
"1","1","0.586"
"15","2","0.557"
"10","3","0.160"
"7","4","0.005"
"8","5","-0.166"
"20","6","-0.205"
"18","7","-0.350"
"21","8","-0.350"
"24","9","-0.350"
"17","10","-0.428"
"4","11","-0.449"
"27","12","-0.449"
"23","13","-0.474"
"9","14","-0.478"
"14","15","-0.573"
"12","16","-0.611"
"16","17","-0.699"
"5","18","-0.725"
"26","19","-0.725"
"13","20","-0.747"
"3","21","-0.815"
"11","22","-0.835"
"19","23","-0.863"
"22","24","-0.863"
"25","25","-0.863"
"6","26","-0.921"
"2","27","-0.965"
