"Atom number","Rang","Delta P"
"5","1","0.555"
"13","2","0.351"
"24","3","0.274"
"12","4","0.097"
"18","5","0.089"
"15","6","0.021"
"30","7","0.017"
"16","8","-0.239"
"9","9","-0.273"
"38","10","-0.273"
"2","11","-0.331"
"3","12","-0.331"
"4","13","-0.331"
"25","14","-0.331"
"26","15","-0.331"
"27","16","-0.331"
"31","17","-0.331"
"32","18","-0.331"
"33","19","-0.331"
"1","20","-0.383"
"8","21","-0.460"
"39","22","-0.460"
"20","23","-0.487"
"22","24","-0.490"
"19","25","-0.508"
"11","26","-0.536"
"28","27","-0.545"
"10","28","-0.591"
"7","29","-0.602"
"14","30","-0.638"
"37","31","-0.662"
"23","32","-0.689"
"21","33","-0.735"
"29","34","-0.786"
"36","35","-0.819"
"34","36","-0.827"
"17","37","-0.850"
"6","38","-0.908"
"35","39","-0.926"
