"Atom number","Rang","Delta P"
"12","1","0.677"
"17","2","0.284"
"20","3","0.225"
"22","4","0.225"
"8","5","0.108"
"1","6","-0.102"
"29","7","-0.113"
"9","8","-0.155"
"18","9","-0.167"
"4","10","-0.191"
"7","11","-0.269"
"14","12","-0.279"
"25","13","-0.279"
"28","14","-0.283"
"15","15","-0.355"
"24","16","-0.355"
"19","17","-0.371"
"23","18","-0.371"
"13","19","-0.376"
"2","20","-0.431"
"10","21","-0.456"
"21","22","-0.518"
"5","23","-0.525"
"6","24","-0.542"
"30","25","-0.577"
"16","26","-0.590"
"27","27","-0.603"
"31","28","-0.629"
"26","29","-0.658"
"34","30","-0.670"
"11","31","-0.673"
"3","32","-0.860"
"33","33","-0.893"
"32","34","-0.899"
