"Atom number","Rang","Delta P"
"32","1","0.085"
"11","2","-0.061"
"1","3","-0.069"
"34","4","-0.080"
"31","5","-0.091"
"21","6","-0.105"
"27","7","-0.108"
"18","8","-0.112"
"3","9","-0.133"
"33","10","-0.242"
"30","11","-0.246"
"20","12","-0.267"
"22","13","-0.267"
"17","14","-0.269"
"29","15","-0.278"
"16","16","-0.291"
"4","17","-0.297"
"26","18","-0.301"
"8","19","-0.307"
"19","20","-0.334"
"23","21","-0.334"
"28","22","-0.337"
"12","23","-0.352"
"7","24","-0.357"
"13","25","-0.364"
"9","26","-0.367"
"15","27","-0.375"
"24","28","-0.375"
"14","29","-0.420"
"25","30","-0.420"
"6","31","-0.482"
"2","32","-0.507"
"5","33","-0.520"
"10","34","-0.540"
