"Atom number","Rang","Delta P"
"14","1","0.217"
"17","2","0.217"
"7","3","0.071"
"8","4","0.071"
"9","5","0.071"
"12","6","0.007"
"18","7","-0.120"
"4","8","-0.123"
"25","9","-0.184"
"5","10","-0.194"
"20","11","-0.194"
"24","12","-0.194"
"27","13","-0.194"
"26","14","-0.209"
"23","15","-0.251"
"2","16","-0.253"
"6","17","-0.280"
"13","18","-0.287"
"30","19","-0.289"
"29","20","-0.292"
"28","21","-0.379"
"38","22","-0.385"
"39","23","-0.385"
"40","24","-0.385"
"34","25","-0.400"
"19","26","-0.408"
"15","27","-0.414"
"16","28","-0.414"
"36","29","-0.423"
"37","30","-0.454"
"1","31","-0.479"
"10","32","-0.482"
"33","33","-0.494"
"3","34","-0.502"
"32","35","-0.503"
"11","36","-0.522"
"35","37","-0.606"
"21","38","-0.618"
"31","39","-0.656"
"22","40","-0.709"
