"Atom number","Rang","Delta P"
"17","1","0.191"
"14","2","0.024"
"11","3","-0.002"
"6","4","-0.028"
"35","5","-0.047"
"2","6","-0.050"
"3","7","-0.050"
"4","8","-0.050"
"25","9","-0.050"
"26","10","-0.050"
"27","11","-0.050"
"31","12","-0.050"
"32","13","-0.050"
"33","14","-0.050"
"13","15","-0.051"
"37","16","-0.072"
"18","17","-0.146"
"30","18","-0.146"
"12","19","-0.147"
"10","20","-0.148"
"24","21","-0.150"
"16","22","-0.155"
"15","23","-0.162"
"1","24","-0.167"
"20","25","-0.194"
"7","26","-0.202"
"36","27","-0.211"
"28","28","-0.215"
"9","29","-0.216"
"38","30","-0.216"
"21","31","-0.234"
"19","32","-0.237"
"23","33","-0.237"
"5","34","-0.242"
"8","35","-0.256"
"39","36","-0.256"
"22","37","-0.268"
"34","38","-0.295"
"29","39","-0.352"
