"Atom number","Rang","Delta P"
"12","1","0.566"
"29","2","0.195"
"14","3","0.173"
"24","4","0.163"
"13","5","0.154"
"18","6","0.142"
"28","7","0.123"
"16","8","0.074"
"23","9","0.021"
"6","10","0.020"
"19","11","0.015"
"31","12","-0.004"
"25","13","-0.018"
"37","14","-0.018"
"26","15","-0.024"
"32","16","-0.056"
"35","17","-0.063"
"36","18","-0.067"
"9","19","-0.072"
"38","20","-0.080"
"27","21","-0.092"
"40","22","-0.111"
"41","23","-0.111"
"42","24","-0.111"
"22","25","-0.113"
"30","26","-0.116"
"10","27","-0.121"
"20","28","-0.122"
"3","29","-0.128"
"39","30","-0.136"
"7","31","-0.138"
"15","32","-0.183"
"17","33","-0.190"
"2","34","-0.196"
"33","35","-0.199"
"34","36","-0.199"
"21","37","-0.265"
"1","38","-0.268"
"8","39","-0.286"
"5","40","-0.287"
"11","41","-0.305"
"4","42","-0.320"
