"Atom number","Rang","Delta P"
"18","1","0.141"
"21","2","0.141"
"17","3","-0.211"
"22","4","-0.211"
"19","5","-0.365"
"9","6","-0.399"
"14","7","-0.427"
"32","8","-0.488"
"30","9","-0.491"
"24","10","-0.502"
"26","11","-0.528"
"8","12","-0.533"
"28","13","-0.533"
"6","14","-0.630"
"16","15","-0.703"
"2","16","-0.735"
"13","17","-0.742"
"10","18","-0.747"
"12","19","-0.748"
"15","20","-0.758"
"1","21","-0.762"
"11","22","-0.775"
"20","23","-0.795"
"4","24","-0.806"
"27","25","-0.815"
"25","26","-0.828"
"29","27","-0.865"
"23","28","-0.869"
"3","29","-0.876"
"31","30","-0.878"
"33","31","-0.889"
"7","32","-0.891"
"5","33","-0.930"
