"Atom number","Rang","Delta P"
"18","1","0.466"
"26","2","0.256"
"5","3","0.134"
"14","4","0.134"
"25","5","0.108"
"9","6","-0.020"
"24","7","-0.053"
"31","8","-0.137"
"6","9","-0.140"
"13","10","-0.140"
"27","11","-0.158"
"20","12","-0.268"
"7","13","-0.275"
"2","14","-0.287"
"1","15","-0.320"
"10","16","-0.337"
"11","17","-0.337"
"12","18","-0.337"
"3","19","-0.346"
"4","20","-0.360"
"29","21","-0.376"
"17","22","-0.454"
"21","23","-0.464"
"16","24","-0.470"
"30","25","-0.473"
"15","26","-0.587"
"8","27","-0.593"
"22","28","-0.614"
"19","29","-0.692"
"23","30","-0.729"
"28","31","-0.824"
