"Atom number","Rang","Delta P"
"1","1","0.272"
"15","2","0.138"
"10","3","0.107"
"7","4","-0.131"
"8","5","-0.268"
"17","6","-0.303"
"4","7","-0.337"
"27","8","-0.337"
"20","9","-0.387"
"23","10","-0.454"
"9","11","-0.476"
"18","12","-0.512"
"21","13","-0.512"
"24","14","-0.512"
"5","15","-0.539"
"26","16","-0.539"
"14","17","-0.591"
"12","18","-0.663"
"3","19","-0.808"
"19","20","-0.896"
"16","21","-0.901"
"6","22","-0.909"
"13","23","-0.910"
"22","24","-0.923"
"25","25","-0.923"
"11","26","-0.958"
"2","27","-0.973"
