"Atom number","Rang","Delta P"
"19","1","0.541"
"9","2","0.505"
"23","3","0.365"
"15","4","0.289"
"6","5","0.277"
"24","6","0.264"
"1","7","0.235"
"20","8","0.231"
"22","9","0.207"
"14","10","0.120"
"2","11","0.067"
"7","12","0.049"
"4","13","-0.005"
"25","14","-0.096"
"18","15","-0.107"
"27","16","-0.147"
"12","17","-0.206"
"16","18","-0.213"
"8","19","-0.265"
"21","20","-0.337"
"3","21","-0.364"
"10","22","-0.415"
"11","23","-0.416"
"5","24","-0.468"
"26","25","-0.606"
"17","26","-0.785"
"13","27","-0.868"
