"Atom number","Rang","Delta P"
"24","1","0.144"
"5","2","0.051"
"12","3","0.023"
"23","4","0.023"
"25","5","0.023"
"16","6","-0.022"
"28","7","-0.022"
"10","8","-0.143"
"14","9","-0.143"
"22","10","-0.217"
"26","11","-0.217"
"17","12","-0.296"
"27","13","-0.296"
"20","14","-0.320"
"2","15","-0.337"
"6","16","-0.379"
"11","17","-0.416"
"13","18","-0.416"
"4","19","-0.432"
"21","20","-0.460"
"15","21","-0.498"
"1","22","-0.551"
"18","23","-0.556"
"7","24","-0.594"
"19","25","-0.601"
"9","26","-0.726"
"8","27","-0.817"
"3","28","-0.916"
