"Atom number","Rang","Delta P"
"36","1","0.364"
"1","2","0.296"
"11","3","0.015"
"31","4","0.003"
"34","5","0.003"
"27","6","-0.106"
"7","7","-0.120"
"10","8","-0.120"
"14","9","-0.120"
"17","10","-0.120"
"20","11","-0.120"
"3","12","-0.149"
"26","13","-0.167"
"30","14","-0.220"
"35","15","-0.220"
"4","16","-0.255"
"22","17","-0.255"
"24","18","-0.269"
"2","19","-0.362"
"16","20","-0.416"
"13","21","-0.449"
"19","22","-0.469"
"23","23","-0.492"
"29","24","-0.542"
"32","25","-0.553"
"33","26","-0.596"
"5","27","-0.606"
"25","28","-0.611"
"6","29","-0.635"
"9","30","-0.641"
"28","31","-0.755"
"12","32","-0.768"
"21","33","-0.786"
"18","34","-0.794"
"15","35","-0.819"
"8","36","-0.884"
