"Atom number","Rang","Delta P"
"16","1","0.217"
"9","2","0.079"
"33","3","0.065"
"39","4","0.065"
"31","5","0.036"
"37","6","0.036"
"29","7","0.033"
"35","8","0.033"
"27","9","0.007"
"17","10","-0.078"
"22","11","-0.155"
"5","12","-0.174"
"6","13","-0.174"
"4","14","-0.244"
"19","15","-0.280"
"7","16","-0.287"
"24","17","-0.325"
"1","18","-0.466"
"3","19","-0.474"
"21","20","-0.585"
"2","21","-0.595"
"8","22","-0.597"
"11","23","-0.664"
"18","24","-0.691"
"23","25","-0.691"
"26","26","-0.699"
"10","27","-0.734"
"12","28","-0.747"
"15","29","-0.751"
"20","30","-0.770"
"30","31","-0.770"
"36","32","-0.770"
"34","33","-0.800"
"32","34","-0.826"
"38","35","-0.826"
"28","36","-0.830"
"25","37","-0.835"
"13","38","-0.838"
"14","39","-0.854"
