"Atom number","Rang","Delta P"
"19","1","0.283"
"12","2","0.055"
"7","3","-0.002"
"15","4","-0.018"
"1","5","-0.057"
"2","6","-0.198"
"17","7","-0.204"
"27","8","-0.204"
"16","9","-0.220"
"28","10","-0.220"
"24","11","-0.223"
"20","12","-0.224"
"21","13","-0.224"
"4","14","-0.328"
"18","15","-0.334"
"23","16","-0.347"
"25","17","-0.347"
"22","18","-0.374"
"26","19","-0.374"
"11","20","-0.415"
"13","21","-0.415"
"8","22","-0.420"
"9","23","-0.420"
"5","24","-0.453"
"6","25","-0.468"
"3","26","-0.504"
"10","27","-0.551"
"14","28","-0.551"
