"Atom number","Rang","Delta P"
"15","1","0.435"
"12","2","0.267"
"13","3","0.155"
"21","4","0.084"
"2","5","0.080"
"14","6","-0.001"
"11","7","-0.010"
"26","8","-0.057"
"3","9","-0.064"
"1","10","-0.127"
"4","11","-0.276"
"10","12","-0.286"
"30","13","-0.352"
"36","14","-0.352"
"5","15","-0.377"
"6","16","-0.377"
"8","17","-0.472"
"28","18","-0.522"
"34","19","-0.522"
"20","20","-0.534"
"18","21","-0.548"
"23","22","-0.548"
"32","23","-0.601"
"38","24","-0.601"
"25","25","-0.607"
"7","26","-0.625"
"17","27","-0.860"
"19","28","-0.860"
"22","29","-0.860"
"24","30","-0.860"
"29","31","-0.860"
"31","32","-0.860"
"33","33","-0.860"
"35","34","-0.860"
"37","35","-0.860"
"39","36","-0.860"
"27","37","-0.861"
"9","38","-0.879"
"16","39","-0.942"
