"Atom number","Rang","Delta P"
"15","1","0.366"
"1","2","0.275"
"12","3","0.251"
"11","4","0.119"
"2","5","-0.021"
"21","6","-0.105"
"10","7","-0.129"
"3","8","-0.131"
"8","9","-0.151"
"13","10","-0.183"
"26","11","-0.271"
"14","12","-0.275"
"7","13","-0.410"
"6","14","-0.530"
"4","15","-0.551"
"5","16","-0.628"
"28","17","-0.628"
"34","18","-0.628"
"30","19","-0.641"
"36","20","-0.641"
"38","21","-0.715"
"18","22","-0.720"
"32","23","-0.783"
"25","24","-0.822"
"20","25","-0.834"
"23","26","-0.835"
"9","27","-0.836"
"16","28","-0.898"
"17","29","-0.899"
"27","30","-0.904"
"29","31","-0.923"
"31","32","-0.923"
"33","33","-0.923"
"35","34","-0.923"
"37","35","-0.923"
"39","36","-0.923"
"19","37","-0.960"
"22","38","-0.966"
"24","39","-0.974"
