"Atom number","Rang","Delta P"
"31","1","0.561"
"16","2","0.522"
"19","3","0.256"
"21","4","0.256"
"29","5","0.247"
"6","6","0.193"
"4","7","0.077"
"18","8","0.036"
"22","9","0.036"
"10","10","0.010"
"17","11","0.007"
"12","12","-0.022"
"11","13","-0.040"
"15","14","-0.040"
"7","15","-0.073"
"8","16","-0.136"
"14","17","-0.157"
"24","18","-0.189"
"9","19","-0.205"
"25","20","-0.207"
"20","21","-0.338"
"23","22","-0.369"
"1","23","-0.444"
"13","24","-0.505"
"3","25","-0.527"
"26","26","-0.577"
"5","27","-0.581"
"2","28","-0.648"
"28","29","-0.677"
"30","30","-0.684"
"27","31","-0.745"
