"Atom number","Rang","Delta P"
"9","1","0.620"
"19","2","0.496"
"23","3","0.293"
"24","4","0.221"
"6","5","0.203"
"20","6","0.182"
"22","7","0.136"
"15","8","0.073"
"4","9","-0.067"
"1","10","-0.072"
"7","11","-0.177"
"2","12","-0.193"
"27","13","-0.218"
"25","14","-0.220"
"18","15","-0.287"
"14","16","-0.358"
"16","17","-0.471"
"11","18","-0.496"
"12","19","-0.499"
"8","20","-0.572"
"3","21","-0.597"
"21","22","-0.604"
"10","23","-0.627"
"5","24","-0.703"
"26","25","-0.796"
"17","26","-0.884"
"13","27","-0.965"
