"Atom number","Rang","Delta P"
"27","1","0.329"
"20","2","0.183"
"25","3","0.152"
"29","4","0.131"
"31","5","0.057"
"33","6","0.051"
"3","7","0.043"
"7","8","-0.056"
"13","9","-0.085"
"1","10","-0.117"
"5","11","-0.282"
"23","12","-0.294"
"19","13","-0.477"
"9","14","-0.609"
"8","15","-0.613"
"26","16","-0.614"
"2","17","-0.628"
"16","18","-0.636"
"18","19","-0.666"
"21","20","-0.666"
"6","21","-0.667"
"17","22","-0.684"
"22","23","-0.684"
"24","24","-0.707"
"30","25","-0.710"
"12","26","-0.760"
"14","27","-0.763"
"10","28","-0.777"
"32","29","-0.787"
"11","30","-0.799"
"15","31","-0.799"
"4","32","-0.809"
"28","33","-0.820"
