"Atom number","Rang","Delta P"
"1","1","0.616"
"10","2","0.159"
"15","3","0.085"
"17","4","0.069"
"20","5","-0.098"
"7","6","-0.118"
"4","7","-0.209"
"27","8","-0.209"
"23","9","-0.290"
"18","10","-0.343"
"21","11","-0.343"
"24","12","-0.343"
"8","13","-0.382"
"14","14","-0.487"
"9","15","-0.541"
"12","16","-0.561"
"5","17","-0.707"
"26","18","-0.707"
"13","19","-0.787"
"3","20","-0.800"
"19","21","-0.830"
"22","22","-0.830"
"25","23","-0.830"
"16","24","-0.833"
"6","25","-0.892"
"11","26","-0.909"
"2","27","-0.959"
