"Atom number","Rang","Delta P"
"12","1","0.588"
"6","2","0.089"
"31","3","0.087"
"18","4","0.084"
"3","5","0.057"
"14","6","0.027"
"28","7","0.026"
"29","8","0.026"
"13","9","0.019"
"32","10","0.014"
"23","11","-0.038"
"37","12","-0.058"
"9","13","-0.066"
"19","14","-0.121"
"16","15","-0.150"
"10","16","-0.177"
"26","17","-0.192"
"30","18","-0.200"
"7","19","-0.209"
"38","20","-0.221"
"33","21","-0.233"
"36","22","-0.244"
"24","23","-0.261"
"40","24","-0.262"
"41","25","-0.262"
"42","26","-0.262"
"22","27","-0.267"
"35","28","-0.279"
"27","29","-0.280"
"39","30","-0.286"
"20","31","-0.294"
"25","32","-0.298"
"2","33","-0.340"
"15","34","-0.347"
"8","35","-0.353"
"17","36","-0.358"
"5","37","-0.383"
"21","38","-0.405"
"34","39","-0.413"
"11","40","-0.431"
"1","41","-0.435"
"4","42","-0.449"
