"Atom number","Rang","Delta P"
"5","1","0.557"
"30","2","0.446"
"13","3","0.435"
"24","4","0.309"
"14","5","0.218"
"12","6","0.117"
"18","7","-0.006"
"16","8","-0.014"
"15","9","-0.034"
"2","10","-0.239"
"3","11","-0.239"
"4","12","-0.239"
"25","13","-0.239"
"26","14","-0.239"
"27","15","-0.239"
"31","16","-0.239"
"32","17","-0.239"
"33","18","-0.239"
"28","19","-0.243"
"1","20","-0.287"
"11","21","-0.317"
"9","22","-0.322"
"38","23","-0.322"
"8","24","-0.419"
"39","25","-0.419"
"22","26","-0.578"
"7","27","-0.609"
"23","28","-0.611"
"19","29","-0.636"
"10","30","-0.646"
"20","31","-0.681"
"37","32","-0.723"
"21","33","-0.756"
"29","34","-0.759"
"17","35","-0.804"
"6","36","-0.832"
"35","37","-0.837"
"34","38","-0.909"
"36","39","-0.920"
