"Atom number","Rang","Delta P"
"15","1","-0.008"
"4","2","-0.045"
"12","3","-0.051"
"13","4","-0.062"
"3","5","-0.082"
"16","6","-0.097"
"9","7","-0.136"
"19","8","-0.138"
"1","9","-0.140"
"21","10","-0.153"
"18","11","-0.156"
"24","12","-0.156"
"23","13","-0.159"
"26","14","-0.178"
"11","15","-0.195"
"25","16","-0.196"
"20","17","-0.231"
"22","18","-0.231"
"2","19","-0.270"
"14","20","-0.289"
"17","21","-0.294"
"7","22","-0.301"
"5","23","-0.365"
"6","24","-0.372"
"10","25","-0.397"
"27","26","-0.399"
"8","27","-0.408"
