"Atom number","Rang","Delta P"
"17","1","0.479"
"16","2","-0.002"
"27","3","-0.053"
"8","4","-0.078"
"15","5","-0.100"
"20","6","-0.112"
"29","7","-0.113"
"12","8","-0.227"
"2","9","-0.228"
"14","10","-0.255"
"1","11","-0.264"
"19","12","-0.271"
"21","13","-0.271"
"9","14","-0.290"
"18","15","-0.312"
"22","16","-0.312"
"26","17","-0.341"
"13","18","-0.356"
"11","19","-0.403"
"23","20","-0.403"
"5","21","-0.405"
"7","22","-0.421"
"3","23","-0.472"
"28","24","-0.485"
"10","25","-0.503"
"24","26","-0.503"
"25","27","-0.506"
"4","28","-0.520"
"6","29","-0.541"
