"Atom number","Rang","Delta P"
"1","1","0.624"
"13","2","0.177"
"17","3","0.177"
"15","4","0.117"
"16","5","0.117"
"14","6","0.087"
"18","7","0.087"
"24","8","0.087"
"25","9","0.058"
"27","10","-0.013"
"28","11","-0.013"
"3","12","-0.052"
"9","13","-0.057"
"23","14","-0.079"
"26","15","-0.111"
"30","16","-0.191"
"21","17","-0.199"
"22","18","-0.214"
"4","19","-0.243"
"12","20","-0.257"
"19","21","-0.257"
"2","22","-0.261"
"31","23","-0.278"
"20","24","-0.299"
"8","25","-0.413"
"11","26","-0.429"
"7","27","-0.457"
"10","28","-0.545"
"5","29","-0.684"
"6","30","-0.774"
"29","31","-0.815"
