"Atom number","Rang","Delta P"
"10","1","0.372"
"1","2","0.326"
"7","3","0.137"
"8","4","-0.110"
"15","5","-0.233"
"9","6","-0.256"
"4","7","-0.319"
"27","8","-0.319"
"18","9","-0.391"
"21","10","-0.391"
"24","11","-0.391"
"5","12","-0.533"
"26","13","-0.533"
"17","14","-0.640"
"20","15","-0.695"
"23","16","-0.725"
"3","17","-0.726"
"12","18","-0.808"
"6","19","-0.820"
"14","20","-0.864"
"16","21","-0.925"
"22","22","-0.940"
"2","23","-0.943"
"25","24","-0.943"
"19","25","-0.947"
"11","26","-0.959"
"13","27","-0.974"
