"Atom number","Rang","Delta P"
"25","1","0.112"
"22","2","0.079"
"19","3","0.074"
"16","4","0.040"
"11","5","-0.051"
"18","6","-0.099"
"21","7","-0.099"
"24","8","-0.099"
"2","9","-0.116"
"13","10","-0.190"
"1","11","-0.364"
"10","12","-0.431"
"12","13","-0.523"
"3","14","-0.527"
"15","15","-0.545"
"9","16","-0.558"
"20","17","-0.643"
"8","18","-0.655"
"6","19","-0.661"
"4","20","-0.681"
"27","21","-0.681"
"5","22","-0.717"
"26","23","-0.717"
"7","24","-0.731"
"23","25","-0.736"
"17","26","-0.740"
"14","27","-0.755"
